i,x,Q,c,direction x,direction y,||direction||,alpha,"f(x,y)"
16,[  7.96234549 -10.97373544],"[[20  5]
 [ 5 16]]",[14 16],102.06021407256705,-174.60122493393587,202.24211985877,0.01,1234.595978787747
17,[ 7.05856316 -9.45605505],"[[20  5]
 [ 5 16]]",[14 16],90.37823250475043,-151.76803964813448,176.64020711412348,0.01,942.315142705081
18,[ 6.25965328 -8.1360144 ],"[[20  5]
 [ 5 16]]",[14 16],79.89098798620707,-132.0040649296705,154.29725570913098,0.01,719.2883724164557
19,[ 5.55452334 -6.98723476],"[[20  5]
 [ 5 16]]",[14 16],70.51299363544918,-114.87796394023356,134.7925401143791,0.01,549.077528692181
20,[ 4.93298041 -5.98700336],"[[20  5]
 [ 5 16]]",[14 16],62.154293105371025,-100.02313939156865,117.76155809589794,0.01,419.1581081613386
21,[ 4.3857345  -5.11573185],"[[20  5]
 [ 5 16]]",[14 16],54.72459145387525,-87.12715174418622,102.88790735965043,0.01,319.9825878276254
22,[ 3.90437419 -4.35650148],"[[20  5]
 [ 5 16]]",[14 16],48.1360307503095,-75.92303703781019,89.89652390075736,0.01,244.26994440930707
23,[ 3.48132443 -3.69467995],"[[20  5]
 [ 5 16]]",[14 16],42.30497645213811,-66.18215264927603,78.54800036861559,0.01,186.46591648158665
24,[ 3.10979354 -3.11759738],"[[20  5]
 [ 5 16]]",[14 16],37.153088794174295,-57.70825704799877,68.63377403629863,0.01,142.33249344996113
25,[ 2.7837147  -2.61427147],"[[20  5]
 [ 5 16]]",[14 16],32.607883887739376,-50.33259036002769,59.97202467806673,0.01,108.6354061924968
26,[ 2.49768533 -2.17517377],"[[20  5]
 [ 5 16]]",[14 16],28.602936628192886,-43.90977009681023,52.40415912607651,0.01,82.90605538138672
27,[ 2.24690696 -1.79203024],"[[20  5]
 [ 5 16]]",[14 16],25.077837807394822,-38.31435371273023,45.79178583019236,0.01,63.26004802158653
28,[ 2.02712708 -1.45765075],"[[20  5]
 [ 5 16]]",[14 16],21.97798793155237,-33.43794900906314,40.01410235719612,0.01,48.25882382784194
29,[ 1.8345842  -1.16578298],"[[20  5]
 [ 5 16]]",[14 16],19.25428779569505,-29.186776564190655,34.96563348099731,0.01,36.804105222155584
30,[ 1.66595651 -0.91098691],"[[20  5]
 [ 5 16]]",[14 16],16.862769064765573,-25.479606703704903,30.55426874116117,0.01,28.05736474398379
31,[ 1.51831455 -0.68852683],"[[20  5]
 [ 5 16]]",[14 16],14.764195586997701,-22.246008084350397,26.699557056627466,0.01,21.3783684384714
32,[ 1.38907798 -0.49427827],"[[20  5]
 [ 5 16]]",[14 16],12.92365687381568,-19.424856570204216,23.331222851902325,0.01,16.278269699462435
33,[ 1.2759763  -0.32464764],"[[20  5]
 [ 5 16]]",[14 16],11.310168327562753,-16.963062362662328,20.38787365855927,0.01,12.383804526325815
34,[ 1.17701342 -0.17650284],"[[20  5]
 [ 5 16]]",[14 16],9.896287780183318,-14.814480801014492,17.815873630889747,0.01,9.409958396298176
